Time,Celsius,Fahrenheit
0,22.562,72.61160000000001
1,22.562,72.61160000000001
2,22.562,72.61160000000001
3,22.562,72.61160000000001
4,22.562,72.61160000000001
5,22.625,72.725
6,22.562,72.61160000000001
7,22.562,72.61160000000001
8,22.562,72.61160000000001
9,22.562,72.61160000000001
10,22.562,72.61160000000001
11,22.562,72.61160000000001
12,22.562,72.61160000000001
13,22.812,73.0616
14,23.312,73.9616
15,23.875,74.975
16,24.437,75.98660000000001
17,24.875,76.775
18,25.312,77.5616
19,25.687,78.23660000000001
20,26.125,79.025
21,26.437,79.5866
22,26.75,80.15
23,27.062,80.7116
24,27.312,81.1616
25,27.5,81.5
26,27.625,81.725
27,27.75,81.95
28,27.75,81.95
29,27.75,81.95
30,27.75,81.95
31,27.687,81.8366
32,27.687,81.8366
33,27.625,81.725
34,27.562,81.61160000000001
35,27.5,81.5
36,27.437,81.3866
37,27.375,81.275
38,27.312,81.1616
39,27.25,81.05
40,27.187,80.9366
41,27.125,80.825
42,27.125,80.825
43,27.0,80.6
44,26.875,80.375
45,26.875,80.375
46,26.812,80.2616
47,26.75,80.15
48,26.75,80.15
0,22.125,71.825
1,22.187,71.9366
2,22.187,71.9366
0,22.187,71.9366
1,22.187,71.9366
2,22.187,71.9366
3,22.187,71.9366
4,22.25,72.05
0,22.125,71.825
1,22.125,71.825
2,22.125,71.825
3,22.125,71.825
4,22.125,71.825
5,22.187,71.9366
0,22.187,71.9366
0,22.125,71.825
1,22.187,71.9366
2,22.187,71.9366
3,22.125,71.825
4,22.187,71.9366
5,22.187,71.9366
6,22.187,71.9366
7,22.187,71.9366
8,22.187,71.9366
9,22.187,71.9366
10,22.187,71.9366
0,22.125,71.825
1,22.187,71.9366
0,26.5,79.7
1,26.562,79.8116
2,26.625,79.925
3,26.625,79.925
4,26.687,80.0366
5,26.75,80.15
6,26.75,80.15
7,26.812,80.2616
8,26.812,80.2616
9,26.812,80.2616
10,26.875,80.375
11,26.875,80.375
12,26.875,80.375
13,26.937,80.48660000000001
14,26.937,80.48660000000001
15,27.0,80.6
16,27.0,80.6
17,27.062,80.7116
18,27.0,80.6
19,27.062,80.7116
20,27.062,80.7116
21,27.062,80.7116
22,27.062,80.7116
23,27.125,80.825
24,27.125,80.825
25,27.125,80.825
26,27.125,80.825
27,27.187,80.9366
28,27.187,80.9366
29,27.187,80.9366
30,27.187,80.9366
31,27.187,80.9366
32,27.187,80.9366
33,27.25,81.05
34,27.25,81.05
35,27.25,81.05
36,27.25,81.05
37,27.25,81.05
38,27.312,81.1616
39,27.312,81.1616
40,27.312,81.1616
41,27.312,81.1616
42,27.25,81.05
43,27.25,81.05
44,27.25,81.05
45,27.25,81.05
46,27.187,80.9366
47,27.312,81.1616
48,27.312,81.1616
49,27.312,81.1616
50,27.312,81.1616
51,27.312,81.1616
52,27.25,81.05
53,27.25,81.05
54,27.25,81.05
55,27.25,81.05
56,27.187,80.9366
57,27.187,80.9366
58,27.125,80.825
59,27.125,80.825
60,27.125,80.825
61,27.125,80.825
62,27.062,80.7116
63,27.062,80.7116
64,27.0,80.6
65,27.0,80.6
66,27.0,80.6
67,26.937,80.48660000000001
68,26.937,80.48660000000001
69,26.937,80.48660000000001
70,26.875,80.375
71,26.875,80.375
72,26.875,80.375
73,26.812,80.2616
74,26.812,80.2616
75,26.75,80.15
76,26.687,80.0366
77,26.75,80.15
78,26.687,80.0366
79,26.625,79.925
80,26.625,79.925
81,26.625,79.925
82,26.625,79.925
