Time,Temp 0,Temp 1
0,23.812,25.0
2,23.812,25.0
4,23.812,25.0
6,23.875,25.0
8,23.875,25.0
10,23.812,25.0
12,23.812,25.0
14,23.875,25.0
16,23.812,25.0
18,23.875,25.0
20,23.875,25.0
22,23.812,25.0
24,23.812,25.0
26,23.875,24.937
28,23.812,24.937
30,23.937,24.937
32,23.875,24.937
34,23.875,24.937
36,23.875,24.937
38,23.875,24.937
40,23.875,24.937
42,23.875,24.937
44,23.875,24.937
46,23.875,24.937
48,23.937,24.937
50,23.875,24.937
52,23.937,24.937
54,23.937,24.937
56,23.937,24.937
58,23.875,24.875
60,23.937,24.937
62,23.937,24.937
64,23.937,24.937
66,23.937,24.937
68,23.937,24.937
70,23.937,24.937
72,23.937,24.937
74,23.937,24.875
76,23.937,24.937
78,23.937,24.937
80,23.937,24.937
82,23.937,24.875
84,24.0,24.937
86,23.937,24.875
88,24.0,24.937
90,23.937,24.937
92,24.0,24.875
94,24.0,24.937
96,24.0,24.937
98,24.0,24.937
100,24.0,24.937
102,24.0,24.937
104,24.0,24.937
106,24.0,24.875
108,24.0,24.937
110,24.0,24.875
112,24.0,24.875
114,24.0,24.875
116,24.0,24.875
118,24.062,24.875
120,24.0,24.937
122,24.062,24.937
124,24.062,24.875
126,24.062,24.875
128,24.062,24.875
130,24.062,24.812
132,24.062,24.937
134,24.062,24.875
136,24.125,24.875
138,24.062,24.875
140,24.125,24.875
142,24.125,24.875
144,24.062,24.875
146,24.062,24.875
148,24.125,24.937
150,24.125,24.937
152,24.125,24.875
154,24.125,24.875
156,24.125,24.875
158,24.125,24.875
160,24.125,24.875
162,24.125,24.875
164,24.125,24.875
166,24.125,24.812
168,24.125,24.875
170,24.125,24.875
172,24.125,24.875
174,24.125,24.875
176,24.125,24.875
178,24.125,24.875
180,24.125,24.875
182,24.187,24.875
184,24.125,24.875
186,24.187,24.875
188,24.187,24.875
190,24.187,24.875
192,24.187,24.875
194,24.187,24.875
196,24.125,24.875
198,24.187,24.812
200,24.187,24.875
202,24.187,24.812
204,24.187,24.812
206,24.187,24.812
208,24.187,24.875
210,24.187,24.875
212,24.187,24.875
214,24.187,24.812
216,24.25,24.875
218,24.25,24.875
220,24.25,24.875
222,24.187,24.812
224,24.187,24.812
226,24.187,24.812
228,24.25,24.812
230,24.25,24.875
232,24.25,24.875
234,24.25,24.812
236,24.25,24.812
238,24.25,24.812
240,24.25,24.875
242,24.25,24.875
244,24.25,24.812
246,24.25,24.812
248,24.25,24.812
250,24.25,24.812
252,24.25,24.875
254,24.25,24.812
256,24.25,24.812
258,24.25,24.812
260,24.25,24.812
262,24.25,24.812
264,24.25,24.812
266,24.25,24.812
268,24.25,24.812
270,24.312,24.875
272,24.25,24.812
274,24.312,24.812
276,24.312,24.812
278,24.312,24.812
280,24.312,24.812
282,24.312,24.75
284,24.312,24.812
286,24.375,24.812
288,24.312,24.812
290,24.312,24.812
292,24.312,24.812
294,24.312,24.812
296,24.312,24.812
298,24.375,24.812
300,24.375,24.812
302,24.375,24.812
304,24.375,24.812
306,24.375,24.812
308,24.375,24.875
310,24.375,24.812
312,24.375,24.812
314,24.437,24.812
316,24.375,24.812
318,24.375,24.812
320,24.375,24.812
322,24.437,24.812
324,24.375,24.812
326,24.375,24.812
328,24.375,24.812
330,24.375,24.812
332,24.437,24.812
334,24.375,24.812
336,24.375,24.75
338,24.375,24.812
340,24.375,24.75
342,24.375,24.812
344,24.437,24.812
346,24.375,24.812
348,24.437,24.812
350,24.437,24.812
352,24.437,24.812
354,24.437,24.812
356,24.437,24.812
358,24.375,24.812
360,24.437,24.812
362,24.437,24.812
364,24.437,24.812
366,24.437,24.812
368,24.437,24.75
370,24.437,24.75
372,24.437,24.812
374,24.5,24.812
376,24.437,24.812
378,24.437,24.812
380,24.437,24.75
382,24.437,24.812
384,24.5,24.75
386,24.437,24.75
388,24.5,24.812
390,24.5,24.812
392,24.5,24.812
394,24.5,24.812
396,24.5,24.75
398,24.5,24.812
400,24.5,24.812
402,24.5,24.75
404,24.5,24.812
406,24.5,24.812
408,24.5,24.812
410,24.5,24.75
412,24.5,24.75
414,24.5,24.812
416,24.5,24.75
418,24.5,24.75
420,24.562,24.75
422,24.5,24.812
424,24.5,24.812
426,24.562,24.75
428,24.5,24.812
430,24.562,24.812
432,24.562,24.812
434,24.562,24.812
436,24.562,24.812
438,24.562,24.812
440,24.562,24.812
442,24.562,24.812
444,24.562,24.812
446,24.562,24.812
448,24.562,24.812
450,24.562,24.75
452,24.562,24.812
454,24.562,24.812
456,24.562,24.812
458,24.625,24.75
460,24.562,24.812
462,24.625,24.812
464,24.625,24.75
466,24.562,24.75
468,24.562,24.75
470,24.625,24.75
472,24.625,24.75
474,24.625,24.625
476,24.625,24.75
478,24.562,24.75
480,24.625,24.812
482,24.562,24.75
484,24.625,24.812
486,24.625,24.75
488,24.625,24.75
490,24.625,24.812
492,24.687,24.75
494,24.625,24.75
496,24.625,24.812
498,24.625,24.75
500,24.625,24.812
502,24.625,24.75
504,24.625,24.75
506,24.625,24.75
508,24.625,24.812
510,24.625,24.75
512,24.625,24.812
514,24.625,24.75
516,24.625,24.812
518,24.625,24.812
520,24.625,24.75
522,24.625,24.75
524,24.625,24.812
526,24.687,24.812
528,24.625,24.812
530,24.687,24.812
532,24.687,24.75
534,24.625,24.812
536,24.687,24.812
538,24.625,24.812
540,24.687,24.812
542,24.687,24.812
544,24.625,24.75
546,24.687,24.812
548,24.687,24.75
550,24.687,24.812
552,24.687,24.75
554,24.687,24.812
556,24.687,24.75
558,24.687,24.75
560,24.687,24.75
562,24.687,24.75
564,24.687,24.75
566,24.687,24.75
568,24.687,24.75
570,24.687,24.812
572,24.687,24.75
574,24.687,24.812
576,24.687,24.812
578,24.687,24.812
580,24.687,24.75
582,24.687,24.812
584,24.687,24.812
586,24.687,24.812
588,24.687,24.812
590,24.687,24.812
592,24.75,24.812
594,24.75,24.812
596,24.687,24.812
598,24.687,24.812
600,24.687,24.812
602,24.687,24.812
604,24.75,24.812
606,24.75,24.812
608,24.75,24.812
610,24.75,24.812
612,24.75,24.875
614,24.75,24.812
616,24.75,24.875
618,24.75,24.875
620,24.75,24.812
622,24.75,24.812
624,24.75,24.875
626,24.75,24.875
628,24.75,24.812
630,24.75,24.812
632,24.812,24.875
634,24.812,24.875
636,24.812,24.875
638,24.812,24.875
640,24.812,24.875
642,24.812,24.875
644,24.812,24.875
646,24.812,24.875
648,24.812,24.875
650,24.812,24.875
652,24.812,24.875
654,24.812,24.875
656,24.812,24.875
658,24.812,24.875
660,24.812,24.937
662,24.875,24.937
664,24.812,24.937
666,24.812,24.937
668,24.875,24.937
670,24.812,24.937
672,24.812,24.937
674,24.812,24.937
676,24.812,24.937
678,24.812,24.937
680,24.812,24.937
682,24.812,24.937
684,24.812,24.937
686,24.812,24.937
688,24.812,24.937
690,24.812,24.937
692,24.812,24.937
694,24.812,24.937
696,24.812,24.937
698,24.812,24.937
700,24.812,24.937
702,24.812,24.875
704,24.812,24.937
706,24.812,24.937
708,24.812,24.875
